Date,Value
2000-12-01, 1.77
2001-03-01, 1.54
2001-06-01, 1.64
2001-09-01, 1.41
2001-12-01, 1.56
2002-03-01, 1.60
2002-06-01, 1.39
2002-09-01, 1.17
2002-12-01, 1.30
2003-03-01, 1.25
2003-06-01, 1.42
2003-09-01, 1.43
2003-12-01, 1.56
2004-03-01, 1.55
2004-06-01, 1.54
2004-09-01, 1.47
2004-12-01, 1.54
2005-03-01, 1.46
2005-06-01, 1.44
2005-09-01, 1.44
2005-12-01, 1.43
2006-03-01, 1.44
2006-06-01, 1.38
2006-09-01, 1.43
2006-12-01, 1.49
2007-03-01, 1.47
2007-06-01, 1.52
2007-09-01, 1.52
2007-12-01, 1.43
2008-03-01, 1.26
2008-06-01, 1.19
2008-09-01, 1.08
2008-12-01, 0.87
2009-03-01, 0.80
2009-06-01, 0.97
2009-09-01, 1.17
2009-12-01, 1.23
2010-03-01, 1.27
2010-06-01, 1.11
2010-09-01, 1.21
2010-12-01, 1.31
2011-03-01, 1.35
2011-06-01, 1.31
2011-09-01, 1.10
2011-12-01, 1.19
2012-03-01, 1.32
2012-06-01, 1.27
2012-09-01, 1.34
2012-12-01, 1.31
2013-03-01, 1.43
2013-06-01, 1.45
2013-09-01, 1.51
2013-12-01, 1.66
2014-03-01, 1.66
2014-06-01, 1.72
2014-09-01, 1.71
2014-12-01, 1.77
2015-03-01, 1.79
2015-06-01, 1.80
2015-09-01, 1.69
2015-12-01, 1.81
2016-03-01, 1.83
2016-06-01, 1.86
2016-09-01, 1.90
2016-12-01, 1.95
2017-03-01, 2.02
2017-06-01, 2.04
2017-09-01, 2.09
2017-12-01, 2.17
2018-03-01, 2.10
2018-06-01, 2.10
2018-09-01, 2.20
2018-12-01, 1.87
2019-03-01, 2.08
2019-06-01, 2.13
2019-09-01, 2.14
2019-12-01, 2.28
2020-03-01, 1.83
2020-06-01, 2.26
2020-09-01, 2.47
2020-12-01, 2.76
2021-03-01, 2.85
2021-06-01, 2.94
2021-09-01, 2.85
2021-12-01, 3.04
2022-03-01, 2.80
2022-06-01, 2.28
2022-09-01, 2.09
2022-12-01, 2.19
2023-03-01, 2.29
2023-06-01, 2.44
2023-09-01, 2.33
2023-12-01, 2.55
2024-03-01, 2.78
2024-06-01, 2.84
2024-09-01, 2.95
2024-12-01, 2.98
2025-03-01, 2.82
2025-06-01, 3.08
2025-09-01, 3.28
2025-12-01, 3.35
2026-06-01, 3.69
