date,sales
2010-03-01,7131.00
2010-06-01,6566.00
2010-09-01,7560.00
2010-12-01,12947.00
2011-03-01,9857.00
2011-06-01,9913.00
2011-09-01,10876.00
2011-12-01,17431.00
2012-03-01,13185.00
2012-06-01,12834.00
2012-09-01,13806.00
2012-12-01,21268.00
2013-03-01,16070.00
2013-06-01,15704.00
2013-09-01,17092.00
2013-12-01,25586.00
2014-03-01,19741.00
2014-06-01,19340.00
2014-09-01,20579.00
2014-12-01,29328.00
2015-03-01,22717.00
2015-06-01,23185.00
2015-09-01,25358.00
2015-12-01,35746.00
2016-03-01,29128.00
2016-06-01,30404.00
2016-09-01,32714.00
2016-12-01,43741.00
2017-03-01,35714.00
2017-06-01,37955.00
2017-09-01,43744.00
2017-12-01,60453.00
2018-03-01,51042.00
2018-06-01,52886.00
2018-09-01,56576.00
2018-12-01,72383.00
2019-03-01,59700.00
2019-06-01,63404.00
2019-09-01,69981.00
2019-12-01,87437.00
2020-03-01,75452.00
2020-06-01,88912.00
2020-09-01,96145.00
2020-12-01,125555.00
2021-03-01,108518.00
2021-06-01,113080.00
2021-09-01,110812.00
2021-12-01,137412.00
2022-03-01,116444.00
2022-06-01,121234.00
2022-09-01,127101.00
2022-12-01,149204.00
2023-03-01,127358.00
2023-06-01,134383.00
2023-09-01,143083.00
2023-12-01,169961.00
2024-03-01,143313.00
2024-06-01,147977.00
2024-09-01,158877.00
2024-12-01,187792.00
2025-03-01,155667.00
2025-06-01,167702.00
2025-09-01,180169.00
2025-12-01,213386.00
2026-03-01,181519.00
