date,sales
2010-03-01,13499
2010-06-01,15700
2010-09-01,20343
2010-12-01,26741
2011-03-01,24667
2011-06-01,28571
2011-09-01,28270
2011-12-01,46333
2012-03-01,39186
2012-06-01,35023
2012-09-01,35966
2012-12-01,54512
2013-03-01,43603
2013-06-01,35323
2013-09-01,37472
2013-12-01,57594
2014-03-01,45646
2014-06-01,37432
2014-09-01,42123
2014-12-01,74599
2015-03-01,58010
2015-06-01,49605
2015-09-01,51501
2015-12-01,75872
2016-03-01,50557
2016-06-01,42358
2016-09-01,46852
2016-12-01,78351
2017-03-01,52896
2017-06-01,45408
2017-09-01,52579
2017-12-01,88293
2018-03-01,61137
2018-06-01,53265
2018-09-01,62900
2018-12-01,84310
2019-03-01,58015
2019-06-01,53809
2019-09-01,64040
2019-12-01,91819
2020-03-01,58313
2020-06-01,59685
2020-09-01,64698
2020-12-01,111439
2021-03-01,89584
2021-06-01,81434
2021-09-01,83360
2021-12-01,123945
2022-03-01,97278
2022-06-01,82959
2022-09-01,90146
2022-12-01,117154
2023-03-01,94836
2023-06-01,81797
2023-09-01,89498
2023-12-01,119575
2024-03-01,90753
2024-06-01,85777
2024-09-01,94930
2024-12-01,124300
2025-03-01,95359
2025-06-01,94036
2025-09-01,102466
2025-12-01,143756
2026-03-01,111184
