date,sales
2010-03-01,6775.00
2010-06-01,6820.00
2010-09-01,7286.00
2010-12-01,8440.00
2011-03-01,8575.00
2011-06-01,9026.00
2011-09-01,9720.00
2011-12-01,10584.00
2012-03-01,10645.00
2012-06-01,11807.00
2012-09-01,13304.00
2012-12-01,10283.00
2013-03-01,12951.00
2013-06-01,13107.00
2013-09-01,13754.00
2013-12-01,15707.00
2014-03-01,15420.00
2014-06-01,15955.00
2014-09-01,16523.00
2014-12-01,18103.00
2015-03-01,17258.00
2015-06-01,17727.00
2015-09-01,18675.00
2015-12-01,21329.00
2016-03-01,20257.00
2016-06-01,21500.00
2016-09-01,22451.00
2016-12-01,26064.00
2017-03-01,24750.00
2017-06-01,26010.00
2017-09-01,27772.00
2017-12-01,32323.00
2018-03-01,31146.00
2018-06-01,32657.00
2018-09-01,33740.00
2018-12-01,39276.00
2019-03-01,36339.00
2019-06-01,38944.00
2019-09-01,40499.00
2019-12-01,46075.00
2020-03-01,41159.00
2020-06-01,38297.00
2020-09-01,46173.00
2020-12-01,56898.00
2021-03-01,55314.00
2021-06-01,61880.00
2021-09-01,65118.00
2021-12-01,75325.00
2022-03-01,68011.00
2022-06-01,69685.00
2022-09-01,69092.00
2022-12-01,76048.00
2023-03-01,69787.00
2023-06-01,74604.00
2023-09-01,76693.00
2023-12-01,86310.00
2024-03-01,80539.00
2024-06-01,84742.00
2024-09-01,88268.00
2024-12-01,96469.00
2025-03-01,90234.00
2025-06-01,96428.00
2025-09-01,102346.00
2025-12-01,113828.00
2026-03-01,109896.00
