date,sales
2010-03-01,345.00
2010-06-01,431.00
2010-09-01,467.00
2010-12-01,731.00
2011-03-01,731.00
2011-06-01,895.00
2011-09-01,954.00
2011-12-01,1131.00
2012-03-01,1058.00
2012-06-01,1184.00
2012-09-01,1262.00
2012-12-01,1585.00
2013-03-01,1458.00
2013-06-01,1813.00
2013-09-01,2016.00
2013-12-01,2585.00
2014-03-01,2502.00
2014-06-01,2910.00
2014-09-01,3203.00
2014-12-01,3851.00
2015-03-01,3543.00
2015-06-01,4042.00
2015-09-01,4501.00
2015-12-01,5842.00
2016-03-01,5382.00
2016-06-01,6436.00
2016-09-01,7011.00
2016-12-01,8809.00
2017-03-01,8032.00
2017-06-01,9321.00
2017-09-01,10328.00
2017-12-01,12972.00
2018-03-01,11966.00
2018-06-01,13231.00
2018-09-01,13727.00
2018-12-01,16914.00
2019-03-01,15077.00
2019-06-01,16886.00
2019-09-01,17652.00
2019-12-01,21082.00
2020-03-01,17737.00
2020-06-01,18687.00
2020-09-01,21470.00
2020-12-01,28071.00
2021-03-01,26171.00
2021-06-01,29077.00
2021-09-01,29010.00
2021-12-01,33671.00
2022-03-01,27908.00
2022-06-01,28822.00
2022-09-01,27714.00
2022-12-01,32165.00
2023-03-01,28645.00
2023-06-01,31999.00
2023-09-01,34146.00
2023-12-01,40112.00
2024-03-01,36455.00
2024-06-01,39071.00
2024-09-01,40589.00
2024-12-01,48386.00
2025-03-01,42314.00
2025-06-01,47516.00
2025-09-01,51242.00
2025-12-01,59894.00
2026-03-01,56311.00
