date,sales
2010-03-01,14503.00
2010-06-01,16039.00
2010-09-01,16195.00
2010-12-01,19953.00
2011-03-01,16428.00
2011-06-01,17367.00
2011-09-01,17372.00
2011-12-01,20885.00
2012-03-01,17407.00
2012-06-01,18059.00
2012-09-01,16008.00
2012-12-01,21456.00
2013-03-01,20489.00
2013-06-01,19896.00
2013-09-01,18529.00
2013-12-01,24519.00
2014-03-01,20403.00
2014-06-01,23382.00
2014-09-01,23201.00
2014-12-01,26470.00
2015-03-01,21729.00
2015-06-01,22180.00
2015-09-01,20379.00
2015-12-01,23796.00
2016-03-01,20531.00
2016-06-01,26448.00
2016-09-01,21928.00
2016-12-01,25826.00
2017-03-01,23212.00
2017-06-01,25605.00
2017-09-01,24538.00
2017-12-01,28918.00
2018-03-01,26819.00
2018-06-01,30085.00
2018-09-01,29084.00
2018-12-01,32471.00
2019-03-01,30571.00
2019-06-01,33717.00
2019-09-01,33055.00
2019-12-01,36906.00
2020-03-01,35021.00
2020-06-01,38033.00
2020-09-01,37154.00
2020-12-01,43076.00
2021-03-01,41706.00
2021-06-01,46152.00
2021-09-01,45317.00
2021-12-01,51728.00
2022-03-01,49360.00
2022-06-01,51865.00
2022-09-01,50122.00
2022-12-01,52747.00
2023-03-01,52857.00
2023-06-01,56189.00
2023-09-01,56517.00
2023-12-01,62020.00
2024-03-01,61858.00
2024-06-01,64727.00
2024-09-01,65585.00
2024-12-01,69632.00
2025-03-01,70066.00
2025-06-01,76441.00
2025-09-01,77673.00
2025-12-01,81273.00
2026-03-01,82886.00
