date,sales
2010-01-01,982.00
2010-04-01,1002.00
2010-07-01,811.00
2010-10-01,844.00
2011-01-01,886.00
2011-04-01,962.00
2011-07-01,1017.00
2011-10-01,1066.00
2012-01-01,953.00
2012-04-01,925.00
2012-07-01,1044.00
2012-10-01,1204.00
2013-01-01,1107.00
2013-04-01,955.00
2013-07-01,977.00
2013-10-01,1054.00
2014-01-01,1144.00
2014-04-01,1103.00
2014-07-01,1103.00
2014-10-01,1225.00
2015-01-01,1251.00
2015-04-01,1151.00
2015-07-01,1153.00
2015-10-01,1305.00
2016-01-01,1401.00
2016-04-01,1305.00
2016-07-01,1428.00
2016-10-01,2004.00
2017-01-01,2173.00
2017-04-01,1937.00
2017-07-01,2230.00
2017-10-01,2636.00
2018-01-01,2911.00
2018-04-01,3207.00
2018-07-01,3123.00
2018-10-01,3181.00
2019-01-01,2205.00
2019-04-01,2220.00
2019-07-01,2579.00
2019-10-01,3014.00
2020-01-01,3105.00
2020-04-01,3080.00
2020-07-01,3866.00
2020-10-01,4726.00
2021-01-01,5003.00
2021-04-01,5661.00
2021-07-01,6507.00
2021-10-01,7103.00
2022-01-01,7643.00
2022-04-01,8288.00
2022-07-01,6704.00
2022-10-01,5931.00
2023-01-01,6051.00
2023-04-01,7192.00
2023-07-01,13507.00
2023-10-01,18120.00
2024-01-01,22103.00
2024-04-01,26044.00
2024-07-01,30040.00
2024-10-01,35082.00
2025-01-01,39331.00
2025-04-01,44062.00
2025-07-01,46743.00
2025-10-01,57006.00
2026-01-01,68127.00
2026-04-01,81615.00
