date,sales
2010-03-01,21.00
2010-06-01,28.00
2010-09-01,31.00
2010-12-01,36.00
2011-03-01,49.00
2011-06-01,58.00
2011-09-01,58.00
2011-12-01,39.00
2012-03-01,30.00
2012-06-01,27.00
2012-09-01,50.00
2012-12-01,306.00
2013-03-01,562.00
2013-06-01,405.00
2013-09-01,431.00
2013-12-01,615.00
2014-03-01,621.00
2014-06-01,769.00
2014-09-01,852.00
2014-12-01,957.00
2015-03-01,940.00
2015-06-01,955.00
2015-09-01,937.00
2015-12-01,1214.00
2016-03-01,1147.00
2016-06-01,1270.00
2016-09-01,2298.00
2016-12-01,2285.00
2017-03-01,2696.00
2017-06-01,2790.00
2017-09-01,2985.00
2017-12-01,3288.00
2018-03-01,3409.00
2018-06-01,4002.00
2018-09-01,6824.00
2018-12-01,7226.00
2019-03-01,4541.00
2019-06-01,6350.00
2019-09-01,6303.00
2019-12-01,7384.00
2020-03-01,5985.00
2020-06-01,6036.00
2020-09-01,8771.00
2020-12-01,10744.00
2021-03-01,10389.00
2021-06-01,11958.00
2021-09-01,13757.00
2021-12-01,17719.00
2022-03-01,18756.00
2022-06-01,16934.00
2022-09-01,21454.00
2022-12-01,24318.00
2023-03-01,23329.00
2023-06-01,24927.00
2023-09-01,23350.00
2023-12-01,25167.00
2024-03-01,21301.00
2024-06-01,25500.00
2024-09-01,25182.00
2024-12-01,25707.00
2025-03-01,19335.00
2025-06-01,22496.00
2025-09-01,28095.00
2025-12-01,24901.00
2026-03-01,22387.00
