Stock,Period,Theta_hat,Gamma_hat,CI_lower,CI_upper
Alphabet,1,0.9751,0.7339,0.4971,0.9707
Alphabet,2,1.0307,0.9444,0.0000,1.9662
Amazon,1,1.0022,1.2123,0.0000,2.9931
Amazon,2,1.0072,1.3361,0.0000,3.9017
Apple,1,1.0088,0.9412,0.2827,1.5997
Apple,2,0.9919,1.3066,0.1965,2.4167
Meta,1,0.9778,0.7883,0.4993,1.0773
Meta,2,1.0108,1.2283,0.0000,3.4585
Microsoft,1,1.0070,0.9867,0.1219,1.8514
Microsoft,2,0.9942,1.3956,0.0876,2.7035
Nvidia,1,1.0039,1.1022,0.0000,2.4840
Nvidia,2,1.0109,1.2246,0.0000,3.4417
Tesla,1,1.0095,0.9341,0.2994,1.5688
Tesla,2,1.0051,1.4319,0.0000,4.2269
