Stock,Period,Theta_hat,Gamma_hat,CI_lower,CI_upper
Alphabet,1,0.9936,1.0045,0.5362,1.4727
Alphabet,2,1.0173,1.0794,0.0000,2.6883
Amazon,1,0.9899,0.9147,0.5410,1.2884
Amazon,2,1.0068,1.3279,0.0000,3.8390
Apple,1,0.9970,1.1593,0.4685,1.8500
Apple,2,1.0077,1.2943,0.0000,3.7097
Meta,1,0.9830,0.8442,0.5134,1.1749
Meta,2,1.0030,1.5427,0.0000,4.4916
Microsoft,1,1.0039,1.1051,0.0000,2.5003
Microsoft,2,0.9977,1.6132,0.0000,3.5729
Nvidia,1,0.9959,1.0941,0.5076,1.6805
Nvidia,2,0.9842,1.1090,0.3460,1.8721
Tesla,1,0.9542,0.6162,0.4382,0.7941
Tesla,2,1.0134,1.1531,0.0000,3.0820
